subj,rel,obj,subj_type,obj_type,cskg,annotator 1,annotator 2,annotator 3,gs
prosodic label,uses,decision tree,OtherEntity,Method,0,0,0,0,0
prototype system implementation,supports,cluster analysis,Method,Method,1,1,1,1,1
quality determination method,analyzes,cluster analysis,Method,Method,1,1,0,1,1
quantitative segmentation,includes,supervised machine learning,Task,Method,0,1,0,1,1
random bipartite graph,executes,cluster analysis,OtherEntity,Method,1,0,1,0,0
random forest,based-on,decision tree,Method,Method,1,1,1,1,1
raw data set,processes,supervised machine learning,Material,Method,0,0,0,0,0
rdrce,supports,supervised machine learning,Method,Method,0,1,1,1,1
real residential power consumption data,discusses,cluster analysis,Material,Method,0,0,0,0,0
real time face recognition method,uses,deep learning,Method,Method,1,1,1,1,1
real world dataset,analyzes,cluster analysis,Material,Method,0,0,0,0,0
real world text data,uses,cluster analysis,Material,Method,0,0,0,0,0
receiver operating characteristic,analyzes,decision tree,Metric,Method,1,0,0,1,0
recipe,produces,supervised machine learning,Material,Method,0,0,0,0,0
recipe,uses,supervised machine learning,Material,Method,0,0,0,0,0
recommendation,based-on,supervised machine learning,Task,Method,1,1,1,1,1
recommendation system,uses,supervised machine learning,Method,Method,1,1,1,1,1
reconstructed data,contributes-to,cluster analysis,Material,Method,0,0,0,0,0
redundant irrelevant feature,uses,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
reflector 28,based-on,deep learning,OtherEntity,Method,0,0,0,0,0
regular expanders,affects,cluster analysis,Method,Method,0,0,0,0,0
related word sen,uses,cluster analysis,OtherEntity,Method,1,0,0,0,0
relational database,executes,cluster analysis,Material,Method,0,0,0,0,0
relationships between entity,improves,cluster analysis,OtherEntity,Method,1,1,1,0,1
remote sensing image,produces,supervised machine learning,Material,Method,0,0,0,0,0
representation learning,proposes,deep learning,Method,Method,1,1,1,1,1
representations of relation instance,extracts,supervised machine learning,Task,Method,0,0,1,0,0
retransmission system,uses,decision tree,Method,Method,0,1,0,1,1
revenue,produces,supervised machine learning,Metric,Method,0,0,0,0,0
ri inner component,uses,supervised machine learning,Method,Method,0,0,1,0,0
robust hashing algorithm,based-on,dimensionality reduction,Method,Task,1,1,1,1,1
rotation forest rf ensemble classifier,outperforms,pattern classification,Method,Task,1,0,1,0,0
rule base,uses,cluster analysis,Method,Method,1,1,0,0,0
rule transformation algorithm,uses,decision tree,Method,Method,1,1,1,1,1
runtime complexity issue,analyzes,cluster analysis,Task,Method,1,0,0,0,0
sample image data,executes,supervised machine learning,Material,Method,0,0,0,0,0
samples of neuroimaging data,uses,supervised machine learning,Material,Method,0,0,0,0,0
sampling based algorithm,matches,cluster analysis,Method,Method,1,0,1,0,0
scalable defense scheme,executes,supervised machine learning,Method,Method,0,1,0,1,1
scheduling process data,analyzes,decision tree,Material,Method,0,0,0,0,0
search space area,uses,cluster analysis,OtherEntity,Method,1,1,1,0,1
self enhancement,matches,dimensionality reduction,OtherEntity,Task,0,0,0,1,0
self organizing map,uses,cluster analysis,Method,Method,1,1,0,1,1
semantic electronic dictionary,uses,cluster analysis,Material,Method,0,0,0,0,0
semantic indexing of resource,includes,dimensionality reduction,Task,Task,0,0,1,0,0
semi supervised learning based approach,skos:broader/is/hyponym-of,supervised machine learning,Method,Method,1,1,1,1,1
semi supervised projected clustering algorithm,improves,cluster analysis,Method,Method,1,1,0,1,1
sensitivity and specificity value,uses,decision tree,Metric,Method,1,0,0,0,0
sensor network,uses,cluster analysis,Method,Method,1,1,1,1,1
sentiment analysis,uses,deep learning,Task,Method,1,1,1,1,1
shopping path data,uses,cluster analysis,Material,Method,0,0,0,0,0
side information,improves,cluster analysis,Material,Method,1,1,0,0,0
sieve rack,analyzes,cluster analysis,OtherEntity,Method,0,0,0,0,0
signal intensity data,acquires,cluster analysis,Material,Method,0,0,0,0,0
similarity of the feature vector,uses,dimensionality reduction,OtherEntity,Task,0,0,1,1,1
single band image,uses,dimensionality reduction,Material,Task,0,0,0,0,0
skin feature learning algorithm,based-on,deep learning,Method,Method,0,1,0,1,1
slot filling system,matches,deep learning,Method,Method,0,0,0,1,0
small cluster size,adapts,cluster analysis,OtherEntity,Method,1,0,1,1,1
small sized mobile platform,improves,cluster analysis,Material,Method,0,0,0,0,0
smart phone,uses,decision tree,Material,Method,0,0,0,0,0
social furtherance incentive,produces,deep learning,OtherEntity,Method,0,0,0,0,0
soft max loss,acquires,deep learning,OtherEntity,Method,1,0,0,0,0
software architecture recovery,uses,cluster analysis,Task,Method,1,1,0,1,1
som network,provides,cluster analysis,Method,Method,1,1,0,1,1
sound and complete synthesis technique,uses,cluster analysis,Method,Method,0,0,0,1,0
spark,includes,supervised machine learning,Material,Method,0,0,1,0,0
sparsified image,uses,supervised machine learning,Material,Method,0,0,0,0,0
spearman ranking correlation,supports,dimensionality reduction,Metric,Task,1,1,1,1,1
spectral clustering,limits,cluster analysis,Method,Method,1,0,1,1,1
spectrallink algorithm,outperforms,cluster analysis,Method,Method,1,1,1,0,1
speech bandwidth extension method,uses,deep learning,Method,Method,0,1,0,1,1
speech recognition software,uses,deep learning,Method,Method,1,1,1,1,1
split method,supports,cluster analysis,Method,Method,1,1,1,1,1
sr benchmark,matches,supervised machine learning,Material,Method,0,0,0,0,0
stabilizing image,acquires,dimensionality reduction,Task,Task,0,0,0,0,0
static property,includes,cluster analysis,OtherEntity,Method,1,0,0,0,0
statistical activity feature,processes,supervised machine learning,OtherEntity,Method,0,0,0,0,0
statistical fitting algorithm,based-on,supervised machine learning,Method,Method,0,1,1,1,1
statistical framework,provides,supervised machine learning,Method,Method,1,1,1,1,1
statistical operation,uses,cluster analysis,Method,Method,0,1,0,1,1
stock market,uses,deep learning,Material,Method,0,0,0,0,0
stock market,uses,supervised machine learning,Material,Method,0,0,0,0,0
storage of heterogeneous datasets,executes,cluster analysis,Task,Method,0,0,0,0,0
structure of complex multidimensional data,uses,dimensionality reduction,Material,Task,0,0,0,0,0
subgroup,uses,dimensionality reduction,OtherEntity,Task,0,0,0,0,0
subject cluster,analyzes,cluster analysis,OtherEntity,Method,1,0,1,0,0
supervised learning of hash code,uses,deep learning,Task,Method,1,1,1,1,1
supervised machine learning,includes,affinity classifier,Method,Method,1,0,1,1,1
supervised machine learning,identifies,android malware,Method,Material,1,1,0,1,1
supervised machine learning,includes,automated hyperparameter optimization method,Method,Method,1,1,1,1,1
supervised machine learning,executes,automatic detection device and method,Method,Method,1,0,1,1,1
supervised machine learning,produces,background knowledge,Method,Material,1,1,1,1,1
supervised machine learning,uses,backward error propagation,Method,Method,0,1,1,1,1
supervised machine learning,uses,biofeedback computer system,Method,Method,0,0,0,0,0
supervised machine learning,includes,black box likelihood,Method,OtherEntity,0,1,1,0,1
supervised machine learning,provides,cache access profile,Method,OtherEntity,0,0,0,0,0
supervised machine learning,uses,channel estimation error,Method,Metric,0,1,0,1,1
supervised machine learning,uses,charged broadcasting,Method,OtherEntity,0,0,0,0,0
supervised machine learning,uses,chronodisruption,Method,OtherEntity,0,1,0,0,0
supervised machine learning,uses,cif automaton,Method,Method,0,0,0,0,0
supervised machine learning,includes,class imbalance situation,Method,Task,1,1,1,1,1
supervised machine learning,uses,classifier combination method,Method,Method,1,1,1,1,1
supervised machine learning,uses,cluster analysis,Method,Method,1,1,1,1,1
supervised machine learning,based-on,complex engineering activity,Method,Task,0,1,0,1,1
supervised machine learning,limits,complexity of storage,Method,Metric,1,0,0,1,0
supervised machine learning,based-on,conditional random field,Method,Method,1,0,1,1,1
supervised machine learning,includes,covert channel,Method,Material,0,0,0,1,0
supervised machine learning,uses,cross validation,Method,Method,1,1,1,1,1
supervised machine learning,uses,crowd sourcing,Method,Method,1,1,1,1,1
supervised machine learning,uses,csc,Method,Method,0,1,0,1,1
supervised machine learning,learns,cube construction time,Method,Metric,0,1,0,1,1
supervised machine learning,skos:broader/is/hyponym-of,cutting edge data mining technology,Method,Method,1,1,1,1,1
supervised machine learning,based-on,data augmentation,Method,Task,1,1,1,1,1
supervised machine learning,uses,deep artificial neural network,Method,Method,1,1,1,1,1
supervised machine learning,produces,deep decoder,Method,Method,0,1,1,1,1
supervised machine learning,identifies,detecting and diagnosing fault,Method,Task,1,1,1,1,1
supervised machine learning,predicts,detecting apnea event,Method,Task,0,1,0,0,0
supervised machine learning,executes,dhc derived feature,Method,OtherEntity,0,0,0,0,0
supervised machine learning,supports,document classification,Method,Task,1,1,1,1,1
supervised machine learning,uses,domain knowledge,Method,Material,1,1,1,1,1
supervised machine learning,executes,double field of view prescan,Method,Method,0,0,0,0,0
supervised machine learning,produces,dynamically configurable supply chain framework,Method,Method,0,1,0,0,0
supervised machine learning,includes,entity extraction,Method,Task,1,1,1,1,1
supervised machine learning,based-on,feedforward neural network,Method,Method,1,1,1,1,1
supervised machine learning,limits,frame technology corporation,Method,Method,0,0,1,0,0
supervised machine learning,uses,full search algorithm,Method,Method,1,0,1,1,1
supervised machine learning,uses,functional aspects of service,Method,OtherEntity,0,0,0,0,0
supervised machine learning,acquires,functional parity,Method,OtherEntity,0,0,0,0,0
supervised machine learning,includes,fuzzy time series,Method,Material,1,1,1,1,1
supervised machine learning,uses,generalized bilinear recovery problem,Method,Task,0,0,1,0,0
supervised machine learning,predicts,global metric learning scheme,Method,Method,0,0,1,0,0
supervised machine learning,supports,glrm,Method,Method,0,1,1,1,1
supervised machine learning,uses,gps positioning,Method,Method,1,1,0,1,1
supervised machine learning,analyzes,greedy job alignment procedure,Method,Method,0,0,0,0,0
supervised machine learning,guides,group of non holonomic vehicle,Method,Method,0,1,0,0,0
supervised machine learning,matches,hand crafted compiler optimization,Method,Method,1,0,0,0,0
supervised machine learning,matches,handcrafting of rule,Method,OtherEntity,0,0,0,0,0
supervised machine learning,matches,high level variable,Method,OtherEntity,0,0,0,0,0
supervised machine learning,executes,human selected experiment,Method,Material,1,0,0,0,0
supervised machine learning,produces,ifd,Method,Method,0,1,0,1,1
supervised machine learning,based-on,image classification,Method,Task,1,0,1,0,0
supervised machine learning,includes,image classification,Method,Task,1,1,1,1,1
supervised machine learning,provides,incor pac,Method,Material,0,0,0,0,0
supervised machine learning,acquires,information extraction rule set,Method,OtherEntity,0,1,0,0,0
supervised machine learning,supports,insight generation of the user,Method,Task,1,1,0,0,0
supervised machine learning,produces,integrated circuit layout,Method,OtherEntity,1,1,0,1,1
supervised machine learning,acquires,integrated data,Method,Material,1,1,1,1,1
supervised machine learning,matches,internet,Method,Material,0,0,0,0,0
supervised machine learning,based-on,iot personal device,Method,Task,1,1,0,0,0
supervised machine learning,uses,job to machine assignment,Method,OtherEntity,0,1,0,0,0
supervised machine learning,uses,junction tree algorithm,Method,Method,0,1,0,1,1
supervised machine learning,skos:broader/is/hyponym-of,kd operation,Method,Method,0,0,0,0,0
supervised machine learning,uses,labeled data,Method,Material,1,1,1,1,1
supervised machine learning,uses,least square support vector machine,Method,Method,1,1,1,1,1
supervised machine learning,links,linked article,Method,Material,0,1,1,1,1
supervised machine learning,improves,logic eltmin,Method,Method,0,0,0,0,0
supervised machine learning,uses,logical relationship feature vector,Method,OtherEntity,0,1,1,0,1
supervised machine learning,uses,logistic regression model,Method,Method,1,1,1,1,1
supervised machine learning,uses,low rank modeling approach,Method,Method,1,1,1,0,1
supervised machine learning,produces,machine learning of model,Method,Method,1,1,1,1,1
supervised machine learning,uses,malicious or infected node,Method,OtherEntity,0,1,0,0,0
supervised machine learning,uses,manual and automated postediting,Method,Task,0,0,0,0,0
supervised machine learning,uses,manually engineered feature,Method,OtherEntity,1,1,1,1,1
supervised machine learning,supports,mass cytometry data,Method,Material,1,0,0,1,0
supervised machine learning,based-on,mathematical construct of object shape,Method,OtherEntity,0,0,0,0,0
supervised machine learning,includes,matrix factorization,Method,Method,1,1,1,1,1
supervised machine learning,based-on,measurement of fitness,Method,Metric,0,1,0,1,1
supervised machine learning,extracts,meta recognition system,Method,Method,0,0,1,0,0
supervised machine learning,supports,microcontrollers of sensor node,Method,OtherEntity,0,1,0,0,0
supervised machine learning,acquires,microsoft kinect version 1,Method,Method,0,1,0,0,0
supervised machine learning,uses,monte carlo method mcm,Method,Method,1,1,1,1,1
supervised machine learning,uses,multiagent system,Method,Method,1,1,1,0,1
supervised machine learning,skos:broader/is/hyponym-of,multimedia recommendation method,Method,Method,0,0,0,0,0
supervised machine learning,provides,non linear separator,Method,OtherEntity,1,1,1,1,1
supervised machine learning,identifies,nondeterministic lr parsing,Method,Method,0,0,1,0,0
supervised machine learning,includes,numeric attribute list,Method,OtherEntity,1,1,0,1,1
supervised machine learning,produces,numerical optimization,Method,Method,1,1,1,1,1
supervised machine learning,identifies,operational issue,Method,Task,1,1,0,0,0
supervised machine learning,includes,periodic step module,Method,Method,0,0,0,0,0
supervised machine learning,based-on,phishing web site,Method,Material,1,0,0,0,0
supervised machine learning,produces,prediction of information resource,Method,Task,1,1,1,1,1
supervised machine learning,based-on,predictive modelling,Method,Method,1,1,1,1,1
supervised machine learning,predicts,privacy,Method,Metric,1,1,0,1,1
supervised machine learning,provides,privacy,Method,Metric,1,1,0,1,1
supervised machine learning,based-on,probabilistic framework,Method,Method,1,1,1,1,1
supervised machine learning,identifies,product database server,Method,Method,0,1,0,0,0
supervised machine learning,acquires,programming course,Method,Task,1,1,0,0,0
supervised machine learning,uses,protein active site,Method,OtherEntity,1,1,0,0,0
supervised machine learning,based-on,random forest,Method,Method,1,0,1,1,1
supervised machine learning,produces,ranking function,Method,Method,1,1,1,1,1
supervised machine learning,manages,raw mfs feature,Method,OtherEntity,0,1,1,0,1
supervised machine learning,based-on,reinforcement learning agent,Method,Method,1,1,1,1,1
supervised machine learning,uses,reinforcement learning agent,Method,Method,1,1,1,1,1
supervised machine learning,based-on,rlsc,Method,Method,0,1,0,1,1
supervised machine learning,uses,rough set theory,Method,Method,1,1,1,1,1
supervised machine learning,produces,scoring function,Method,Method,1,1,1,1,1
supervised machine learning,uses,selection method,Method,Method,1,1,1,1,1
supervised machine learning,uses,sensor,Method,Material,1,1,0,0,0
supervised machine learning,analyzes,sensor data,Method,Material,1,1,0,1,1
supervised machine learning,guides,sentiment classification datasets,Method,Material,0,0,1,1,1
supervised machine learning,based-on,simulated participant,Method,OtherEntity,0,1,0,0,0
supervised machine learning,includes,software fault proneness model,Method,Method,1,1,0,0,0
supervised machine learning,includes,speech recognition software,Method,Method,1,1,0,1,1
supervised machine learning,proposes,stability of equilibrium point,Method,OtherEntity,0,0,0,0,0
supervised machine learning,predicts,storage format and parameter,Method,OtherEntity,0,1,0,0,0
supervised machine learning,based-on,street light status,Method,OtherEntity,0,0,0,0,0
supervised machine learning,uses,svm,Method,Method,1,1,1,1,1
supervised machine learning,produces,switching signal input end,Method,OtherEntity,0,0,0,0,0
supervised machine learning,includes,synthesized painting data,Method,Material,0,0,0,0,0
supervised machine learning,executes,ternary schmitt trigger,Method,OtherEntity,0,0,0,0,0
supervised machine learning,produces,tongue segmentation algorithm,Method,Method,1,1,1,1,1
supervised machine learning,solves,tournament gaming system,Method,Method,0,0,0,0,0
supervised machine learning,uses,transient dynamic,Method,Task,0,0,0,1,0
supervised machine learning,includes,two class imbalance problem,Method,Task,1,1,1,1,1
supervised machine learning,based-on,ultrascale fpgas,Method,Material,0,1,0,1,1
supervised machine learning,uses,upgrade sub system and tool,Method,Method,0,0,0,0,0
supervised machine learning,uses,user friendly authentication system,Method,Method,0,1,0,0,0
supervised machine learning,learns,user program grading matrix,Method,OtherEntity,0,0,1,0,0
supervised machine learning,produces,variable abstraction with sharing,Method,OtherEntity,0,0,0,0,0
supervised machine learning,uses,variational characterization,Method,Method,1,1,1,1,1
supervised machine learning,analyzes,vector of weight,Method,OtherEntity,0,1,1,1,1
supervised machine learning,includes,video processing,Method,Task,1,1,1,1,1
supervised machine learning,includes,video shooting,Method,Task,0,1,0,1,1
supervised machine learning,predicts,vulnerability concept definition,Method,OtherEntity,1,0,0,0,0
supervised machine learning,supports,wall climbing robot,Method,Method,1,1,0,1,1
supervised machine learning,produces,weak supervision,Method,Method,1,1,1,1,1
svm,outperforms,decision tree,Method,Method,1,1,1,1,1
swara method,uses,cluster analysis,Method,Method,0,1,0,1,1
symbolic regression task,improves,cluster analysis,Task,Method,0,0,1,1,1
symmetric multi task learning,uses,hierarchical dirichlet process,Method,Method,1,1,0,1,1
synonym,identifies,supervised machine learning,Material,Method,0,0,0,0,0
template markup language,extracts,link prediction,Method,Task,0,0,0,0,0
temporal scalability,matches,supervised machine learning,Metric,Method,0,0,0,0,0
tensorflow library,based-on,supervised machine learning,Method,Method,1,1,1,1,1
text clustering,uses,discourse relation based clustering algorithm,Task,Method,1,1,1,1,1
text clustering,uses,offline type protocol,Task,Method,0,0,0,0,0
text clustering,uses,virtual navigator agent neighbor set,Task,OtherEntity,0,0,0,0,0
text document,manages,supervised machine learning,Material,Method,0,0,0,0,0
textual document,uses,supervised machine learning,Material,Method,0,0,0,0,0
theoretical construct of visibility,based-on,supervised machine learning,OtherEntity,Method,0,0,0,0,0
theoretical shafting center line,provides,cluster analysis,OtherEntity,Method,0,0,0,0,0
three dimensional speech animation,uses,supervised machine learning,Material,Method,0,0,0,0,0
topic detection and tracking,based-on,cluster analysis,Task,Method,1,1,1,1,1
topic model,uses,cluster analysis,Method,Method,1,1,1,1,1
topology characteristic,improves,link prediction,OtherEntity,Task,0,0,0,1,0
track extraction algorithm,uses,cluster analysis,Method,Method,0,1,0,1,1
training click log db 12,executes,supervised machine learning,OtherEntity,Method,0,0,0,0,0
training sample,includes,dimensionality reduction,Material,Task,0,0,0,0,0
training sample,executes,supervised machine learning,Material,Method,0,0,0,0,0
tree augmented naive bayes structure,skos:broader/is/hyponym-of,bayesian classifier,Method,Method,1,1,1,1,1
twitter data set,uses,supervised machine learning,Material,Method,0,0,0,0,0
uci benchmarking data set,analyzes,cluster analysis,Material,Method,0,0,1,0,0
unix based system,analyzes,cluster analysis,Method,Method,0,0,0,1,0
unlabeled information,executes,deep learning,OtherEntity,Method,1,0,0,1,0
unstructured mesh,uses,cluster analysis,Material,Method,0,0,0,0,0
unsupervised neural computing network,uses,text clustering,Method,Task,1,1,1,1,1
unsupervised neural networks model,provides,cluster analysis,Method,Method,1,1,1,1,1
user information,uses,cluster analysis,Material,Method,0,0,0,0,0
user information,uses,decision tree,Material,Method,0,0,0,0,0
user model,uses,deep learning,Method,Method,1,1,0,1,1
user modelling,uses,supervised machine learning,Method,Method,1,1,1,1,1
user request,uses,supervised machine learning,Material,Method,0,0,0,0,0
validation,analyzes,cluster analysis,Task,Method,1,0,1,1,1
validation,uses,cluster analysis,Task,Method,1,1,1,1,1
validity index,learns,cluster analysis,Metric,Method,0,0,0,0,0
variable selection,uses,cluster analysis,Task,Method,1,1,1,1,1
vector quantization,uses,cluster analysis,Method,Method,1,0,1,1,1
vector representation approach,uses,deep learning,Method,Method,1,1,1,1,1
vessel traffic information,uses,supervised machine learning,Material,Method,0,0,0,0,0
view point change,learns,deep learning,OtherEntity,Method,1,0,0,0,0
visual analytics,analyzes,cluster analysis,Task,Method,0,0,0,1,0
visual processing portion,uses,supervised machine learning,Method,Method,0,1,0,0,0
visualization,analyzes,cluster analysis,Task,Method,1,0,1,1,1
visualization of and interaction,improves,dimensionality reduction,Task,Task,1,0,0,0,0
wavelet shrinkage,based-on,cluster analysis,Method,Method,1,1,0,1,1
web data mining,uses,cluster analysis,Task,Method,1,1,1,1,1
web data mining,includes,link prediction,Task,Task,1,1,1,1,1
web data mining,based-on,supervised machine learning,Task,Method,1,1,1,1,1
web data mining,produces,supervised machine learning,Task,Method,1,0,1,0,0
web document,acquires,cluster analysis,Material,Method,0,0,0,0,0
web scale document,uses,cluster analysis,Material,Method,0,0,0,0,0
webquestions dataset,uses,deep learning,Material,Method,0,0,0,0,0
wheel speed computation model,uses,supervised machine learning,Method,Method,0,1,0,0,0
wide search space,uses,dimensionality reduction,OtherEntity,Task,0,1,1,1,1
world wide web,matches,decision tree,Material,Method,0,0,0,0,0
wristwatch computer,uses,supervised machine learning,OtherEntity,Method,1,1,1,0,1
wsns,produces,cluster analysis,Material,Method,0,0,0,0,0