opposite,predicate,predicate-simplified,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33
usedBy,uses,uses,apply,employ,exert,exploit,reuse,use,utilize,utilise,adopt,leverage,rely,access,,,,,,,,,,,,,,,,,,,,,,
producedBy,produces,produces,author,coin,compose,compute,conoct,construct,contrive,cowrite,create,derive,draft,fabricate,form,formulate,invent,manufacture,model,organize,produce,rebuild,recreate,style,synthesize,write,generate,design,develop,implement,deploy,make,do,,,
providedBy,provides,provides,present,furnish,resupply,serve,supply,provide,yield,give,add,assign,,,,,,,,,,,,,,,,,,,,,,,,
supportedBy,supports,supports,help,support,aid,assist,back,underlie,enable,promote,empower,facilitate,foster,facilitate,allow,hold,bear,,,,,,,,,,,,,,,,,,,
skos:narrower,skos:broader/is/hyponym-of,is,hyponym-of,represent,denote,symbolize,be,signify,represent,mean,consist,constitute,correspond,,,,,,,,,,,,,,,,,,,,,,,
proposedBy,proposes,proposes,propose,report,say,state,recommend,suggest,hint,introduce,outline,promise,,,,,,,,,,,,,,,,,,,,,,,,
bases,based-on,base,base,ground,found,construe,build,establish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
improvedBy,improves,improves,improve,evolve,grow,enrich,expand,augment,raise,enhance,advance,gain,optimize,,,,,,,,,,,,,,,,,,,,,,,
includedBy,includes,includes,relate,include,involve,engage,enroll,embed,contain,comprise,carry,cover,consider,share,mount,have,equip,install,,,,,,,,,,,,,,,,,,
identifiedBy,identifies,identify,identify,detect,filter,recognize,locate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acquiredBy,acquires,acquires,select,accumulate,recoup,source,receive,acquire,regain,retrieve,obtain,accrue,borrow,subselect,inherit,accept,collect,gather,store,attract,get,capture,record,achieve,,,,,,,,,,,,
adaptedBy,adapts,adapts,readapt,adjust,conform,adapt,gear,readjust,fit,assimilate,accommodate,personalize,customize,specialize,generalize,tailor,refine,,,,,,,,,,,,,,,,,,,
analyzedBy,analyzes,analyzes,analyze,assess,study,try_on,scan,approximate,proofread,inspect,sample,research,check,appraise,analyse,examine,watch,audit,feel_out,go_over,consult,survey,test,assay,try,evaluate,investigate,monitor,regard,peruse,review,try_out,measure,calculate,address,estimate
linkedBy,links,links,fasten,strap,hook,lasso,leash,reeve,peg,rope,seal,clamp,latch,chain,band,trammel,shackle,clasp,knot,button,lock,moor,buckle,yoke,manacle,screw,link,string,pin,tether,paste,anchor,bond,wire,connect,
matchedBy,matches,matches,harmonize,go,square,dovetail,couple,pair,alternate,align,map,compare,match,,,,,,,,,,,,,,,,,,,,,,,
managedBy,manages,manages,look_out,wait_on,look_after,care,manage,maintain,preserve,keep,handle,treat,deal,configure,,,,,,,,,,,,,,,,,,,,,,
interacts-with,interacts-with,interacts,renegotiate,compromise,agree,debate,interact,collaborate,disagree,communicate,haggle,interlink,participate,,,,,,,,,,,,,,,,,,,,,,,
queriedBy,queries,queries,query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guidedBy,guides,guides,steer,conduct,guide,misdirect,lead,escort,accompany,direct,,,,,,,,,,,,,,,,,,,,,,,,,,
automatedBy,automates,automates,automate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lackedOf,lacks,lacks,lack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitedBy,limits,limits,reduce,limit,confine,restrain,constrain,restrict,prevent,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,affects,affects,placate,provoke,engage,console,impair,repulse,shake,discombobulate,threaten,inflame,thrill,satisfy,unsettle,kill,enrapture,outrage,disgruntle,reassure,discompose,interest,alarm,engross,afflict,manipulate,edit,update,increase,replace,modify,fatigue,refresh,cut,,
processedBy,processes,processes,process,proces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contributedBy,contributes-to,contributes,abnegate,gift,pass_out,turn-over,restore,turn-in,give-out,disburse,give-away,proffer,distribute,remit,transfer,extend,shell_out,give-up,hand_out,refer,disseminate,contribute,,,,,,,,,,,,,,
causedBy,causes,causes,cause,influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifiedBy,classifies,classifies,regroup,bracket,categorize,recode,chunk,code,separate,group,sort,sort_out,catalogue,classify,class,number,seed,reclassify,grade,,,,,,,,,,,,,,,,,
annotatedBy,annotates,annotates,scar,stipple,annotate,stamp,embroider,incise,inscribe,engrave,applique,imprint,paint,reinscribe,mark,sign,tag,label,,,,,,,,,,,,,,,,,,
visualizedBy,visualizes,visualizes,visualize,disclose,reflect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predictedBy,predicts,predicts,denote,corroborate,indicate,imply,predict,anticipate,forebode,say,expose,prognosticate,explain,forecast,,,,,,,,,,,,,,,,,,,,,,
standardizedBy,standardizes,standardizes,standardize,standardise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learnedBy,learns,learns,memorize,glean,learn,study,absorb,assimilate,cram,relearn,read,,,,,,,,,,,,,,,,,,,,,,,,,
executedBy,executes,executes,perform,execute,operate,run,simulate,play,work,train,action,,,,,,,,,,,,,,,,,,,,,,,,,
outperformedBy,outperforms,outperforms,outperform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractedBy,extracts,extracts,extract,mine,induce,infer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highlightedBy,highlights,highlights,highlight,emphasize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transferredBy,transfers,transfers,deliver,dispatch,shunt,airmail,import,forward,ship,send,transship,transmit,pass,hand,transport,shift,export,express,post,wire,transfer,drive,slip,port,return,convey,handdeliver,mail,answer,,,,,,,
solvedBy,solves,solves,find,determine,see,rationalize,guess,deduce,solve,discover,pick_up,ascertain,realize,relearn,ascertain,realize,relearn,fix,,,,,,,,,,,,,,,,,,
discussedBy,discusses,discusses,debate,discuss,chatter,confer,converse,argue,discus,,,,,,,,,,,,,,,,,,,,,,,,,,,