subj,rel,obj,subj_type,obj_type,aikg,annotator-1,annotator-2,annotator-3,gs
reasoning,solves,crisp functional relationship,Task,OtherEntity,1,1,1,0,1
reasoning,acquires,crisp representation,Task,Method,1,0,1,1,1
reasoning,manages,crisp representation,Task,Method,1,0,1,0,0
reasoning,uses,dbms based triple store,Task,Method,0,1,1,0,1
reasoning,produces,decision support system,Task,Method,1,1,1,1,1
reasoning,uses,decision tree,Task,Method,1,1,1,1,1
reasoning,produces,deductively closed,Task,OtherEntity,1,0,0,1,0
reasoning,provides,derivation of high level context,Task,OtherEntity,0,1,1,0,1
reasoning,uses,design time method,Task,Method,0,0,0,1,0
reasoning,provides,drawing process processor,Task,Method,0,0,0,0,0
reasoning,skos:broader/is/hyponym-of,events and causal relation,Task,OtherEntity,1,0,0,0,0
reasoning,identifies,exhaustive analysis version,Task,Method,0,0,0,0,0
reasoning,uses,explicit knowledge,Task,OtherEntity,1,1,1,0,1
reasoning,affects,extended relational calculus,Task,Method,1,1,0,1,1
reasoning,uses,factual and hypothetical observation,Task,OtherEntity,0,0,1,1,1
reasoning,uses,fixed model,Task,Method,0,1,1,1,1
reasoning,supports,flood forecasting and simulation,Task,Task,0,0,1,1,1
reasoning,uses,formal logic,Task,Method,1,1,1,1,1
reasoning,supports,formal reasoning method,Task,Method,1,1,1,1,1
reasoning,learns,formation rule,Task,Method,0,0,1,1,1
reasoning,uses,frictional dynamic,Task,OtherEntity,0,0,0,0,0
reasoning,provides,fuzzy description logic,Task,Method,1,0,1,0,0
reasoning,uses,fuzzy description logic,Task,Method,1,1,1,0,1
reasoning,uses,fuzzy expert system,Task,Method,1,1,1,1,1
reasoning,uses,fuzzy logic inference,Task,Method,1,1,1,1,1
reasoning,uses,generic message,Task,OtherEntity,0,0,1,1,1
reasoning,uses,gm phd r,Task,Method,0,0,0,0,0
reasoning,acquires,grasp mode,Task,OtherEntity,0,0,1,0,0
reasoning,includes,high level search technique,Task,Method,0,0,1,0,0
reasoning,skos:broader/is/hyponym-of,human like tasking,Task,Task,1,1,1,0,1
reasoning,based-on,human resources strategy,Task,Method,0,1,1,1,1
reasoning,analyzes,hypermedia,Task,Material,1,0,1,1,1
reasoning,based-on,ict product or service,Task,OtherEntity,0,0,1,0,0
reasoning,uses,image classification,Task,Task,1,1,1,0,1
reasoning,uses,image of the guiding marker,Task,OtherEntity,0,0,0,1,0
reasoning,based-on,incomplete and inconsistent information,Task,OtherEntity,1,1,1,0,1
reasoning,includes,inference of ancestral state,Task,OtherEntity,0,0,1,1,1
reasoning,uses,information integration,Task,Task,1,1,1,0,1
reasoning,produces,inliers,Task,OtherEntity,0,0,1,1,1
reasoning,based-on,intelligent multimodal fusion,Task,Task,0,1,1,0,1
reasoning,uses,interactive theorem proving,Task,Task,1,1,1,1,1
reasoning,uses,interpreter,Task,Method,1,1,1,1,1
reasoning,executes,knowledge base,Task,Material,1,0,0,1,0
reasoning,manages,knowledge base,Task,Material,1,0,1,0,0
reasoning,queries,knowledge base,Task,Material,1,0,1,0,0
reasoning,uses,knowledge base,Task,Material,1,1,1,1,1
reasoning,produces,knowledge management system,Task,Method,1,1,1,1,1
reasoning,uses,knowledge representation,Task,Method,1,1,1,1,1
reasoning,matches,lan,Task,Material,0,0,0,1,0
reasoning,uses,large size rdf data,Task,Material,1,0,1,0,0
reasoning,uses,local web search engine,Task,Method,0,0,1,0,0
reasoning,analyzes,logic programming,Task,Method,1,1,0,0,0
reasoning,uses,logic programming,Task,Method,1,1,1,0,1
reasoning,based-on,logical concept abduction,Task,OtherEntity,1,1,1,1,1
reasoning,provides,low level explicit context,Task,OtherEntity,0,1,1,1,1
reasoning,produces,mathematics,Task,Material,1,1,1,0,1
reasoning,supports,maximum entropy formalism,Task,Method,0,1,1,0,1
reasoning,uses,memory fence,Task,OtherEntity,0,0,0,1,0
reasoning,uses,metric diagram,Task,OtherEntity,0,0,1,0,0
reasoning,uses,moraldm model,Task,Method,0,1,1,0,1
reasoning,improves,multimedia stream,Task,Material,1,0,0,0,0
reasoning,uses,multisensor data fusion,Task,Task,1,1,1,0,1
reasoning,uses,natural language,Task,Material,1,0,1,1,1
reasoning,supports,natural language policy authoring interface,Task,Method,0,0,1,1,1
reasoning,uses,natural local behaviour,Task,OtherEntity,0,0,1,0,0
reasoning,includes,normalized adaptive recurrent learning,Task,Method,0,1,1,0,1
reasoning,proposes,null pointer warning,Task,OtherEntity,0,0,0,1,0
reasoning,solves,object referencing,Task,OtherEntity,0,0,0,0,0
reasoning,acquires,ontology integration,Task,Task,1,0,0,0,0
reasoning,includes,ontology integration,Task,Task,1,0,1,0,0
reasoning,manages,ontology integration,Task,Task,1,1,1,0,1
reasoning,uses,ontology integration,Task,Task,1,0,1,1,1
reasoning,classifies,ordering on relation,Task,OtherEntity,0,0,0,1,0
reasoning,produces,owl api,Task,Method,0,0,0,0,0
reasoning,based-on,package based description logic,Task,Method,0,1,1,0,1
reasoning,supports,predicted dynamic,Task,OtherEntity,1,0,1,1,1
reasoning,based-on,probabilistic framework,Task,Method,1,1,1,0,1
reasoning,solves,problem solving experience,Task,OtherEntity,1,0,0,1,0
reasoning,uses,product recommendation,Task,Task,0,1,1,0,1
reasoning,supports,program invariant,Task,OtherEntity,1,0,1,0,0
reasoning,provides,program semantics,Task,Task,1,0,1,0,0
reasoning,supports,program semantics,Task,Task,1,1,1,0,1
reasoning,supports,pruning unimportant weight,Task,OtherEntity,0,0,1,1,1
reasoning,based-on,qualitative process theory,Task,Method,1,1,1,0,1
reasoning,supports,querying of argument,Task,Task,1,1,1,1,1
reasoning,uses,question answering,Task,Task,1,1,1,1,1
reasoning,uses,random forest,Task,Method,1,1,1,1,1
reasoning,uses,rdf schema,Task,Method,1,1,1,1,1
reasoning,uses,recommendation,Task,Task,1,1,1,1,1
reasoning,supports,refined technique,Task,Method,0,1,0,1,1
reasoning,uses,restricted circumscribed owl ontology,Task,OtherEntity,1,0,1,0,0
reasoning,identifies,rotor mechanism,Task,Method,0,1,1,0,1
reasoning,based-on,rough set theory,Task,Method,1,1,1,0,1
reasoning,uses,rule base,Task,Method,1,1,1,1,1
reasoning,based-on,rule based reasoning,Task,Method,1,1,1,1,1
reasoning,based-on,secured agent repository,Task,Material,0,0,0,1,0
reasoning,produces,self adaptive per,Task,OtherEntity,1,0,0,0,0
reasoning,queries,semantic based web mining,Task,Task,0,0,0,0,0
reasoning,contributes-to,slow and fast operating mode,Task,OtherEntity,0,0,0,0,0
reasoning,produces,software development team,Task,Task,0,0,0,0,0
reasoning,uses,software reuse,Task,Task,1,1,0,0,0
reasoning,based-on,spatial relation,Task,Task,1,0,1,0,0
reasoning,acquires,spherical like object,Task,OtherEntity,0,0,0,1,0
reasoning,supports,sub picture display area,Task,OtherEntity,0,0,0,0,0
reasoning,skos:broader/is/hyponym-of,subsumption analysis of concept,Task,OtherEntity,1,0,0,0,0
reasoning,includes,treatment planning study,Task,Method,0,1,0,0,0
reasoning,executes,verification,Task,Task,1,1,1,0,1
reasoning,improves,verification,Task,Task,1,1,1,1,1
reasoning,provides,verification,Task,Task,1,1,1,1,1
reasoning,acquires,verifying gsm program,Task,Task,0,0,0,1,0
reasoning,includes,visual knowledge base,Task,Material,1,0,0,0,0
reasoning,affects,wall climbing robot,Task,Method,1,1,1,0,1
reasoning,causes,wall thermal conductivity,Task,OtherEntity,0,0,0,1,0
resource description framework,skos:broader/is/hyponym-of,communications metadata,Material,OtherEntity,1,0,0,0,0
resource description framework,supports,communications metadata,Material,OtherEntity,1,0,1,0,0
resource description framework,adapts,csparql extension,Material,Method,0,1,0,0,0
resource description framework,extracts,intersection of curves and surface,Material,OtherEntity,0,0,0,0,0
resource description framework,based-on,knowledge base,Material,Material,1,1,0,0,0
resource description framework,skos:broader/is/hyponym-of,knowledge representation language,Material,Method,1,1,0,0,0
resource description framework,skos:broader/is/hyponym-of,message text,Material,Material,0,0,0,1,0
resource description framework,uses,metamodelling,Material,Method,0,1,0,0,0
resource description framework,uses,rdf model theory,Material,Method,0,0,0,1,0
resource description framework,uses,rdf pattern,Material,OtherEntity,0,1,0,0,0
resource description framework,uses,rql,Material,Method,0,0,0,0,0
resource description framework,matches,shape expression,Material,Method,0,0,0,0,0
resource description framework,skos:broader/is/hyponym-of,shared syntax,Material,OtherEntity,1,0,0,0,0
resource description framework,based-on,sound andsound gesture mapping,Material,Method,0,0,0,0,0
resource description framework,transfers,tagged deployable software component,Material,Method,0,0,0,0,0
resource description framework,uses,uml metamodels,Material,Method,0,0,0,0,0
rhesus monkey,acquires,reasoning,Material,Task,0,0,0,0,0
robust stochastic answer network,executes,reasoning,Method,Task,1,1,1,0,1
role concept,manages,reasoning,Method,Task,1,0,0,1,0
rotary variator input,uses,sparql,OtherEntity,Method,0,0,0,0,0
rotation of cluster heads chs,uses,reasoning,OtherEntity,Task,0,0,0,0,0
rsms,provides,reasoning,Method,Task,1,1,1,0,1
rule base,uses,reasoning,Method,Task,1,1,1,0,1
rules based text tagging method,identifies,semantic web service discovery,Method,Task,0,0,0,1,0
s box,includes,reasoning,Method,Task,1,0,1,0,0
salinity variation,supports,semantic web service discovery,OtherEntity,Task,0,0,0,0,0
scaling error,uses,sparql,OtherEntity,Method,0,0,0,0,0
scienceweb,uses,reasoning,Material,Task,0,0,0,0,0
second client side,supports,reasoning,OtherEntity,Task,0,0,0,0,0
semantator,supports,reasoning,Method,Task,1,1,1,0,1
semantic coincidence ratio,learns,reasoning,Metric,Task,0,0,0,1,0
semantic description,executes,reasoning,Task,Task,1,1,0,0,0
semantic description,uses,semantic web rule language,Task,Method,1,1,1,0,1
semantic descriptions of web service,uses,web ontology language,Task,Material,1,1,1,1,1
semantic information,uses,web ontology language,Method,Material,1,1,1,1,1
semantic interoperability,uses,ontology matching,Task,Task,1,1,1,1,1
semantic power,produces,reasoning,Metric,Task,0,0,0,1,0
semantic repository system,uses,web ontology language,Method,Material,1,1,1,0,1
semantic search,acquires,electronic text corpus,Task,Material,1,1,1,1,1
semantic search,uses,estimated penalized likelihood method,Task,Method,0,0,0,1,0
semantic search,based-on,semantic meta information of attribute,Task,OtherEntity,0,1,1,0,1
semantic search,improves,tile prefetching policy,Task,Method,0,0,0,1,0
semantic triple,uses,dbpedia,OtherEntity,Material,1,1,1,0,1
semantic triple,uses,reasoning,OtherEntity,Task,0,0,0,1,0
semantic web,analyzes,reasoning,Material,Task,0,0,0,0,0
semantic web,based-on,reasoning,Material,Task,1,1,1,0,1
semantic web,skos:broader/is/hyponym-of,web ontology language,Material,Material,1,1,0,0,0
semantic web rule language,uses,aggregation of rdf stream,Method,Material,1,0,1,0,0
semantic web rule language,matches,bww representation capability,Method,Method,0,0,1,0,0
semantic web rule language,produces,decidable system class,Method,OtherEntity,1,0,0,0,0
semantic web rule language,based-on,jess fact,Method,OtherEntity,1,0,1,0,0
semantic web rule language,uses,ontology integration,Method,Task,1,1,1,0,1
semantic web rule language,skos:broader/is/hyponym-of,rule base,Method,Method,1,1,1,0,1
semantic web rule language,skos:broader/is/hyponym-of,self testing alu design,Method,Method,0,0,0,0,0
semantic web rule language,queries,semantic web rules language swrl,Method,Method,0,0,0,0,0
semantic web rule language,uses,spatial symmetry,Method,OtherEntity,0,0,0,0,0
semantic web rule language,analyzes,syntactic based approach,Method,Method,0,0,0,0,0
semantic web service discovery,uses,aspect oriented programming mechanism,Task,Method,0,0,0,0,0
semantic web service discovery,includes,automated data flow,Task,Task,1,0,1,0,0
semantic web service discovery,includes,behavioral interface theory,Task,Method,0,0,0,1,0
semantic web service discovery,uses,bpel,Task,Method,1,1,1,0,1
semantic web service discovery,skos:broader/is/hyponym-of,combine function,Task,OtherEntity,0,0,0,1,0
semantic web service discovery,uses,declarative definition,Task,OtherEntity,1,0,1,0,0
semantic web service discovery,skos:broader/is/hyponym-of,distributed computing environment,Task,Method,1,1,0,0,0
semantic web service discovery,transfers,genetic locus information,Task,OtherEntity,0,0,0,0,0
semantic web service discovery,uses,high order fuzzy cognitive map,Task,Method,1,0,0,0,0
semantic web service discovery,uses,indexing mechanism,Task,Method,1,1,1,0,1
semantic web service discovery,matches,information technology,Task,Method,1,1,0,1,1
semantic web service discovery,skos:broader/is/hyponym-of,instructional mutation aca,Task,Method,0,0,0,1,0
semantic web service discovery,produces,non cooperative service pricing game,Task,Method,0,0,0,0,0
semantic web service discovery,analyzes,ontology integration,Task,Task,1,1,0,0,0
semantic web service discovery,based-on,ontology integration,Task,Task,1,1,1,0,1
semantic web service discovery,uses,ontology integration,Task,Task,1,1,1,1,1
semantic web service discovery,produces,overall semantic similarity score value,Task,OtherEntity,1,0,1,1,1
semantic web service discovery,discusses,process interaction paradigm,Task,Method,0,0,0,0,0
semantic web service discovery,provides,program semantics,Task,Task,1,1,1,0,1
semantic web service discovery,analyzes,readability of wsdl document,Task,Task,1,0,0,0,0
semantic web service discovery,produces,relational database,Task,Material,1,1,0,0,0
semantic web service discovery,uses,relational database,Task,Material,1,1,1,0,1
semantic web service discovery,uses,resource description framework,Task,Material,1,1,1,1,1
semantic web service discovery,analyzes,satisfiability of temporal constraint,Task,OtherEntity,0,0,0,1,0
semantic web service discovery,solves,semantic and context information,Task,OtherEntity,1,0,1,0,0
semantic web service discovery,uses,semantic information,Task,Method,1,1,1,0,1
semantic web service discovery,proposes,servicebook,Task,Method,0,0,0,1,0
semantic web service discovery,includes,three phases method,Task,Method,1,0,0,0,0
semantic web service discovery,includes,transformation definition,Task,OtherEntity,1,0,0,0,0
semantic web service discovery,contributes-to,web service based technology,Task,Method,1,1,1,0,1
semantic web service discovery,contributes-to,x wsdl document,Task,Material,1,0,0,1,0
semantically working environment,uses,ontology engineering,Task,Task,1,0,1,0,0
semantics of the data,uses,web ontology language,Material,Material,0,1,0,1,1
sensor,produces,reasoning,Material,Task,0,0,0,0,0
sentential cognitive system,includes,reasoning,Method,Task,1,1,1,0,1
separation logic,skos:broader/is/hyponym-of,reasoning,Method,Task,1,1,0,0,0
similarity relation,uses,reasoning,Task,Task,1,1,1,1,1
so called spatial organization graph,uses,reasoning,OtherEntity,Task,0,1,0,1,1
social norm,includes,reasoning,OtherEntity,Task,0,1,1,0,1
socio technical infrastructure,produces,ontology matching,Method,Task,0,0,0,0,0
sparql,uses,centrality based network analysis method,Method,Method,0,0,1,0,0
sparql,predicts,feasibility characterization problem,Method,Task,0,0,0,0,0
sparql,uses,ibm db2 9,Method,Material,0,0,0,0,0
sparql,produces,lela ontology,Method,OtherEntity,1,1,0,0,0
sparql,includes,similarity measuring function,Method,Method,0,1,1,1,1
sparql,skos:broader/is/hyponym-of,user friendly bioinformatics resource,Method,Material,1,0,0,1,0
spatial temporal data,uses,resource description framework,Material,Material,0,1,0,0,0
spatio temporal complex concept,uses,semantic web rule language,OtherEntity,Method,1,0,0,1,0
ssa form,includes,reasoning,Method,Task,0,1,0,0,0
stability,produces,reasoning,Metric,Task,0,1,0,0,0
statebased approach,uses,web ontology language,Method,Material,1,1,1,0,1
statemachines,based-on,reasoning,Method,Task,1,1,0,1,1
storing unifiers,supports,reasoning,Method,Task,1,1,0,0,0
systems of argumentation,acquires,reasoning,Method,Task,1,1,0,1,1
tableau based algorithm,uses,reasoning,Method,Task,1,1,1,1,1
taiwanese sign language,provides,reasoning,Material,Task,0,0,0,1,0
tar algorithm,uses,reasoning,Method,Task,1,1,1,0,1
tel data,uses,linked data,Material,Material,0,1,0,1,1
temporal abstraction knowledge base,executes,reasoning,Material,Task,0,0,0,0,0
temporal aliasing,executes,reasoning,OtherEntity,Task,0,1,0,0,0
temporal aspects of information,uses,reasoning,OtherEntity,Task,0,0,0,1,0
temporal encoding and decoding scheme,uses,resource description framework,Method,Material,0,1,0,0,0
temporal logic,uses,reasoning,Method,Task,1,1,1,1,1
test case generation,produces,semantic web service discovery,Task,Task,1,1,0,1,1
tfl specification,provides,reasoning,OtherEntity,Task,0,1,1,1,1
thekernel strategy,includes,reasoning,Method,Task,0,1,0,1,1
time based trigger manager,based-on,sparql,Method,Method,0,0,0,1,0
time granularity system,analyzes,reasoning,Task,Task,0,1,0,0,0
tnbn model,uses,reasoning,Method,Task,0,1,1,0,1
tool support,affects,semantic web service discovery,Method,Task,1,0,0,1,0
transformation operation,proposes,reasoning,Method,Task,1,1,0,0,0
trust computational rule,provides,reasoning,OtherEntity,Task,0,1,0,1,1
usability assessment,adapts,ontology evaluation,Task,Task,1,1,0,1,1
user query,produces,linked data,Material,Material,0,1,0,1,1
veriws,acquires,semantic web service discovery,Method,Task,1,1,0,1,1
video analysis result,based-on,reasoning,OtherEntity,Task,0,1,0,1,1
visualization,supports,reasoning,Task,Task,1,1,1,1,1
web ontology language,proposes,arbitrary graph data,Material,Material,0,1,0,1,1
web ontology language,provides,consistent syntax,Material,OtherEntity,0,1,0,0,0
web ontology language,skos:broader/is/hyponym-of,conveying guide rail,Material,OtherEntity,0,0,0,1,0
web ontology language,provides,direct tableaux algorithm,Material,Method,0,0,0,0,0
web ontology language,analyzes,end user degree of satisfaction,Material,Metric,0,0,0,0,0
web ontology language,contributes-to,horn clause,Material,Method,0,0,0,0,0
web ontology language,produces,image annotation,Material,Task,0,0,0,0,0
web ontology language,executes,information storage and retrieval system,Material,Method,0,0,0,0,0
web ontology language,provides,interactive online experience,Material,OtherEntity,0,0,0,0,0
web ontology language,produces,knowledge based technology,Material,Method,0,0,0,0,0
web ontology language,skos:broader/is/hyponym-of,knowledge representation language,Material,Method,1,0,0,0,0
web ontology language,produces,location,Material,Task,0,0,0,1,0
web ontology language,produces,lymphoid malignancy,Material,Task,0,0,0,0,0
web ontology language,uses,machine learning method,Material,Method,0,0,0,0,0
web ontology language,analyzes,mcmas p,Material,Method,0,0,0,0,0
web ontology language,adapts,mref,Material,Task,0,0,0,0,0
web ontology language,provides,multilingualism,Material,Material,0,1,0,0,0
web ontology language,executes,music recommendation,Material,Task,0,0,0,1,0
web ontology language,skos:broader/is/hyponym-of,numerical library,Material,Method,0,0,0,0,0
web ontology language,acquires,online clinical case,Material,Material,0,0,0,0,0
web ontology language,provides,ontological meaning of the concept,Material,OtherEntity,0,1,0,0,0
web ontology language,skos:broader/is/hyponym-of,ontology integration,Material,Task,1,0,0,1,0
web ontology language,provides,owl based model,Material,Method,0,0,0,0,0
web ontology language,includes,owl dl power,Material,Method,0,0,0,0,0
web ontology language,discusses,owl s language,Material,OtherEntity,0,1,0,0,0
web ontology language,produces,plug in system,Material,Method,0,0,0,0,0
web ontology language,uses,postgis,Material,Method,0,0,0,0,0
web ontology language,supports,program semantics,Material,Task,1,1,1,0,1
web ontology language,uses,propose and revise problem solver,Material,Method,0,0,0,1,0
web ontology language,analyzes,qualified cardinality restriction,Material,OtherEntity,0,0,0,0,0
web ontology language,supports,reasoning,Material,Task,1,1,0,0,0
web ontology language,produces,resource description framework,Material,Material,0,1,0,1,1
web ontology language,uses,semaps ontology,Material,OtherEntity,0,1,0,1,1
web ontology language,discusses,service selection,Material,Task,0,0,0,0,0
web ontology language,proposes,structural operational semantics,Material,Method,0,0,0,0,0
web ontology language,skos:broader/is/hyponym-of,sws language,Material,OtherEntity,1,1,0,0,0
web ontology language,produces,unidirectional forward transformation,Material,OtherEntity,0,0,0,0,0
web system service,uses,reasoning,Task,Task,1,1,1,0,1
web system service,improves,semantic web service discovery,Task,Task,1,1,1,1,1
web system service,proposes,semantic web service discovery,Task,Task,1,1,0,1,1
web system service,supports,semantic web service discovery,Task,Task,1,1,1,1,1
web system service,uses,semantic web service discovery,Task,Task,1,1,1,1,1
wikidata,includes,proximity of task,Material,Task,0,0,0,1,0
wikigenomes,uses,wikidata,Material,Material,0,1,0,0,0
wikipedia entry,acquires,dbpedia,Material,Material,0,1,0,1,1
world wide web consortium have,proposes,resource description framework,Material,Material,0,1,0,0,0
world wide web consortium have,proposes,web ontology language,Material,Material,0,1,0,0,0
web page,uses,linked data,Material,Material,0,1,1,0,1